,"x0 = [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","x0 = [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","x0 = [-10, 10, -10, 10, -10, 10, -10, 10, -10, 10]","x0 = [-2,  1, -2,  1, -2,  1, -2,  1, -2,  1]"
n_iter_gradient,17531,17569,17967,17576
mean_time_per_iter_gradient,0.0010421973531476035,0.00186947468525725,0.001444480672095489,0.0023846922558368017
total_time_gradient,18.275073289871216,32.86079454421997,25.972301721572876,41.94017577171326
solução_gradient,"[0.99999997 0.99999994 0.99999989 0.99999977 0.99999954 0.99999908
 0.99999816 0.9999963  0.99999259 0.99998514]","[0.99999997 0.99999994 0.99999989 0.99999977 0.99999954 0.99999909
 0.99999817 0.99999633 0.99999264 0.99998525]","[0.99999997 0.99999995 0.99999989 0.99999978 0.99999955 0.9999991
 0.9999982  0.99999639 0.99999275 0.99998547]","[0.99999997 0.99999994 0.99999989 0.99999977 0.99999954 0.99999909
 0.99999817 0.99999633 0.99999265 0.99998525]"
n_iter_newton,4648,4653,4654,4655
mean_time_per_iter_newton,0.0006282488060489989,0.0005390327411801642,0.0005889878438991387,0.0006906810047547108
total_time_newton,2.92527174949646,2.51357102394104,2.7482783794403076,3.222221612930298
solução_newton,"[0.99999998 0.99999997 0.99999993 0.99999986 0.99999973 0.99999946
 0.99999892 0.99999784 0.99999568 0.99999136]","[0.99999998 0.99999997 0.99999993 0.99999986 0.99999973 0.99999946
 0.99999892 0.99999784 0.99999568 0.99999135]","[0.99999998 0.99999997 0.99999993 0.99999986 0.99999973 0.99999946
 0.99999892 0.99999784 0.99999568 0.99999135]","[0.99999998 0.99999997 0.99999993 0.99999986 0.99999973 0.99999946
 0.99999892 0.99999784 0.99999568 0.99999136]"
n_iter_newton_modified,4648,4654,4653,4655
mean_time_per_iter_newton_modified,0.0014473740492343082,0.000648984849632273,0.0008319383945460989,0.00048633180038501315
total_time_newton_modified,6.734417200088501,3.023658514022827,3.878431797027588,2.2686550617218018
solução_newton_modified,"[0.99999998 0.99999997 0.99999993 0.99999986 0.99999973 0.99999946
 0.99999892 0.99999784 0.99999568 0.99999136]","[0.99999998 0.99999997 0.99999993 0.99999986 0.99999973 0.99999946
 0.99999892 0.99999784 0.99999568 0.99999135]","[0.99999998 0.99999997 0.99999993 0.99999986 0.99999973 0.99999946
 0.99999892 0.99999784 0.99999568 0.99999135]","[0.99999998 0.99999997 0.99999993 0.99999986 0.99999973 0.99999946
 0.99999892 0.99999784 0.99999568 0.99999136]"
n_iter_conjugate_gradient,275,346,282,323
mean_time_per_iter_conjugate_gradient,0.0017088625552880504,0.00227246906446374,0.0017171101213774222,0.001827600579824507
total_time_conjugate_gradient,0.46969103813171387,0.7869710922241211,0.4855043888092041,0.5904805660247803
solução_conjugate_gradient,"[1.00000002 1.00000004 1.00000009 1.00000017 1.00000034 1.00000068
 1.00000136 1.00000273 1.00000548 1.00001099]","[0.99999999 0.99999997 0.99999994 0.99999987 0.99999973 0.99999943
 0.99999884 0.99999767 0.99999533 0.99999065]","[1.         1.00000001 1.00000003 1.00000008 1.00000016 1.00000034
 1.00000069 1.0000014  1.00000282 1.00000565]","[0.99999999 0.99999998 0.99999997 0.99999994 0.99999986 0.99999973
 0.99999945 0.99999889 0.99999778 0.99999554]"
